id_1,id_2
4,2865
10,2078
10,915
10,1407
10,1923
15,3368
15,1501
21,2282
21,2992
21,3747
21,1315
22,291
22,3072
24,327
24,3712
24,2431
26,3153
27,1659
27,2035
27,885
27,3491
27,831
27,3582
27,714
27,1767
27,479
27,1268
31,2059
34,3635
35,3153
35,308
36,3153
38,717
38,253
38,1766
38,1524
38,3491
38,1396
38,3252
38,393
38,1264
38,814
38,1003
40,3712
41,2300
42,3546
42,540
42,2297
42,73
42,3678
42,1356
52,1212
52,591
52,1132
52,2742
52,823
52,3210
57,3255
61,974
61,73
61,1095
61,772
67,3329
72,1353
72,1618
75,2243
75,1089
77,3115
83,2489
85,1295
92,3177
92,1955
92,1337
92,141
97,1483
98,1686
98,3218
98,709
98,2078
98,3712
98,393
99,2755
99,338
101,1891
101,910
101,2270
101,2273
101,1877
101,3542
105,968
108,1948
113,2521
113,2348
116,3665
116,2993
119,1085
119,2328
119,2806
119,2096
119,3537
119,255
119,2410
119,2718
119,2281
119,73
120,2164
120,937
120,3131
124,494
127,910
129,3658
129,1619
130,561
131,1316
131,1821
139,2237
140,2683
140,557
140,3336
140,3210
142,1726
143,3624
143,2315
143,3658
143,2590
150,974
150,3027
156,3677
159,2796
159,1877
159,2614
159,298
159,2601
159,2948
159,2810
159,2084
159,3416
159,260
159,1686
159,3293
159,1418
159,232
159,2729
168,2376
173,3374
175,73
175,2328
175,3712
175,393
175,3306
177,893
178,1551
180,2483
181,2561
181,2683
182,1643
182,2326
182,1427
185,2273
186,1416
193,3153
195,2282
197,1409
197,86
197,1853
197,1575
201,3438
201,2275
205,2078
218,1632
218,588
218,2579
218,2347
219,852
219,2316
223,3143
224,2635
228,1573
230,73
230,1852
965,363
965,3491
232,2075
240,2868
240,2806
240,352
240,3784
240,2375
241,1532
242,3378
242,1119
242,3153
244,3752
255,2706
255,1318
255,412
259,506
263,3138
264,1840
265,73
265,2308
265,3712
266,953
268,19
270,3306
270,2147
270,1013
275,3427
275,107
277,983
278,3463
278,3590
279,3491
287,2397
287,3361
292,1640
297,3509
297,893
297,2497
297,3597
301,1923
308,363
308,184
308,1672
308,538
308,3123
308,3789
308,1257
308,2285
308,631
309,3747
309,2319
311,974
311,2397
311,925
311,3712
311,1979
313,2078
314,974
315,3360
315,2078
320,641
321,2078
321,3712
321,2431
323,1204
325,3491
326,2828
326,680
326,3352
326,1686
326,440
326,1343
326,2859
326,1295
335,2382
335,3712
336,1780
337,3121
337,2806
337,3684
339,3352
340,361
342,73
344,2803
351,73
352,1075
354,1949
358,2837
360,595
360,1106
360,3645
360,981
360,2425
360,3712
360,901
362,73
362,2690
362,3388
364,2035
364,1030
364,1906
364,1786
369,2029
371,1089
376,1096
376,3416
378,1409
378,1095
378,1801
379,2837
379,1748
383,1841
383,1280
383,1265
383,2347
388,2078
388,1607
2309,2834
2309,1092
393,508
393,1459
393,403
393,3252
395,1282
397,974
397,2152
397,2397
397,3712
2375,2715
2375,3370
2375,3044
2375,3368
401,2442
401,1858
403,557
403,3121
408,2635
408,3633
409,2177
411,2861
411,2566
411,3394
412,3208
412,3578
423,3103
424,2504
425,452
425,1856
425,3712
428,1997
430,1280
430,2442
430,788
431,2774
432,1191
432,2836
432,1071
432,708
433,1333
433,2273
439,2275
439,1723
440,1085
440,3182
440,2857
440,2316
440,73
440,852
442,1832
444,73
444,3761
444,2316
444,1949
450,2330
450,3146
450,1160
451,3019
451,3398
452,1295
452,2811
452,2078
452,3676
452,814
452,2361
452,1821
452,3459
452,3712
2728,3491
2728,3426
2728,2402
454,2432
456,2481
457,3624
457,3632
458,2078
458,3712
458,3306
459,2475
459,689
461,556
462,683
463,73
469,2282
469,1095
469,3578
473,685
473,1501
476,909
479,561
479,3491
480,2059
480,3153
480,2635
481,3658
486,3053
490,2635
491,3208
491,1095
491,1167
492,2714
494,1164
494,2028
494,631
494,1795
494,1737
494,3010
494,1297
494,1867
494,1876
494,2194
494,900
494,1924
494,1403
494,1895
494,3756
494,736
494,1496
494,3455
494,981
494,3310
494,1584
494,285
494,2783
494,1091
494,2861
494,465
494,3451
494,3469
495,3352
496,2953
500,73
503,532
503,1784
503,2925
505,3162
506,1942
506,3757
506,2907
506,3766
506,2850
506,706
506,2347
507,2281
509,3039
509,2078
509,1095
509,2397
509,3031
513,1164
514,3520
519,2551
521,2078
521,56
522,698
522,648
522,1765
522,1525
529,2284
529,855
531,1525
531,2078
533,708
535,3402
535,856
537,3250
539,2078
540,2420
545,2806
545,2590
545,597
546,2635
546,1093
546,3153
546,184
550,3520
551,2742
551,1132
551,2158
552,1001
552,2281
552,1935
553,1723
555,3153
557,3416
557,3336
557,1746
557,1652
557,1423
561,1059
561,3153
567,3131
570,2045
571,2347
571,3766
571,1792
574,1089
574,3712
574,3558
576,3701
577,3235
578,2548
581,1433
584,1532
588,2347
591,1224
591,1212
592,3153
592,3712
592,73
592,2431
593,1011
593,2129
593,2569
593,1914
593,2701
595,3329
595,3016
595,3701
595,1075
595,1543
596,3195
597,2590
597,1979
597,1543
600,1035
601,1358
601,2078
602,2152
605,3572
606,3712
610,2992
610,3031
618,73
618,2121
618,1164
618,848
618,1856
618,3032
620,2635
621,3491
621,1501
621,772
623,2425
3781,753
3781,1095
630,897
631,3378
641,3757
641,3030
641,417
641,686
642,3345
642,2912
642,179
642,3144
647,3429
648,3447
649,845
650,73
650,2635
650,3762
650,2176
650,2421
650,2078
650,3712
651,2078
651,3712
652,3388
652,2300
653,2811
655,2134
656,2035
657,2300
661,1089
661,2397
661,2078
666,2159
667,543
672,3111
674,1900
676,3712
679,1924
679,2078
681,2410
682,3031
685,2471
685,3016
685,3604
685,2231
686,3757
686,1358
689,3299
693,2483
695,2316
699,709
700,3228
700,2078
701,2442
706,2096
709,1767
709,2177
709,2810
709,3491
710,2273
710,2078
711,3671
711,3597
711,893
716,2755
716,1857
716,3369
717,1737
727,2352
727,2979
727,3712
728,3658
728,3603
731,2722
733,2078
735,1767
735,1030
736,3153
737,1949
738,645
740,2683
740,2461
740,1537
740,3067
740,2475
740,1486
740,2499
740,1211
740,2137
740,1578
746,3747
746,1032
746,2456
746,933
746,2805
746,2153
746,73
746,2178
747,2152
751,3131
751,1032
751,1800
751,1751
751,974
751,3712
751,1295
751,1863
755,2702
758,3208
758,1723
759,2347
760,3214
760,2442
760,2424
764,1958
765,3701
767,1515
767,2153
771,2129
772,1445
772,828
772,3603
776,974
776,73
776,3306
779,2755
780,2662
782,3150
782,1619
789,2078
789,2183
789,3135
798,73
798,2152
798,2909
799,2836
799,86
802,2273
805,1089
805,1618
805,73
805,1032
805,2882
805,1783
806,2078
809,3378
809,3491
814,1405
814,894
814,2409
823,2780
823,2085
823,2158
823,1645
823,2410
825,3142
827,3256
830,2328
831,3306
836,2896
837,1030
837,1876
838,1689
841,2078
841,2397
841,3712
848,3226
848,2056
848,2672
848,962
848,3712
848,3032
848,1876
848,2439
848,1696
848,2328
848,2635
848,1145
848,2516
848,2556
848,2575
848,3153
848,1672
851,867
852,1006
852,1575
853,2442
857,2273
857,3747
857,1856
857,2347
857,3712
858,2078
860,2896
860,1228
860,1661
864,1517
864,2442
864,2942
868,2787
871,2909
874,3712
877,2323
879,3513
881,3582
885,3491
891,910
893,2589
893,1523
893,2556
893,3509
893,524
893,2275
893,1124
893,817
893,73
894,974
894,3712
894,1331
897,974
897,3446
897,3712
898,1089
899,1841
903,1030
905,2281
906,1737
912,2357
913,1640
914,1640
915,2614
920,2835
920,1599
920,3157
922,3356
922,3100
922,1914
925,3761
925,918
927,3051
927,1881
927,3090
930,1917
933,1032
933,2178
937,2078
937,2722
937,1017
937,2240
937,940
937,1358
937,1435
937,2264
937,1257
937,2273
937,3072
937,2880
940,1265
942,3028
946,1906
946,3153
946,1164
949,2847
952,1212
956,3200
956,1675
957,3073
959,3098
960,2347
961,2755
962,1561
962,2916
962,2672
963,3424
964,2078
964,3712
964,2159
231,73
231,3093
968,2426
968,3738
972,1164
973,2443
974,2307
974,2327
974,3521
974,2806
974,2780
974,3131
974,1977
974,1735
974,3249
974,1834
974,2425
974,3432
974,1979
974,2447
974,3203
974,2458
974,3634
974,3059
974,1002
974,2481
974,1343
974,2497
974,1430
974,3775
974,3108
974,2536
974,1393
974,3308
974,3153
974,3417
974,1418
974,3157
974,3160
974,1990
974,2054
974,691
974,3236
974,3474
974,2078
974,1691
974,3250
974,3515
974,1321
974,2467
974,2662
974,3349
974,2683
974,3352
974,2281
974,904
974,144
975,3148
