id,name,ml_target,id_1,id_2
4,sunilangadi2,1,4,4
5,j6montoya,0,5,5
6,sfate,0,6,6
7,amituuush,0,7,7
8,mauroherlein,0,8,8
9,ParadoxZero,0,9,9
10,llazzaro,0,10,10
11,beeva-manueldepaz,0,11,11
12,damianmuti,0,12,12
13,apobbati,0,13,13
14,hwlv,0,14,14
15,haroldoramirez,0,15,15
16,jasonblanchard,0,16,16
17,BahiHussein,0,17,17
18,itsmevanessi,0,18,18
19,nwjsmith,0,19,19
20,chengzhipeng,0,20,20
21,tiensonqin,0,21,21
22,pdokas,0,22,22
23,maxfierke,0,23,23
24,davidthewatson,0,24,24
25,kidbai,0,25,25
26,Micanss,0,26,26
27,hepin1989,0,27,27
28,ashphy,0,28,28
29,soberanes,0,29,29
30,rajatpatel2113,0,30,30
31,ehlxr,0,31,31
32,city292,1,32,32
33,riverphoenix,1,33,33
34,AnqiYang,1,34,34
35,CN-Sean,0,35,35
36,Myoursky,0,36,36
37,ariepratama,1,37,37
38,linjunpop,0,38,38
39,MLoughry,0,39,39
40,bombworm,0,40,40
41,kmiladi,0,41,41
42,indreklasn,0,42,42
43,littlexiang,0,43,43
44,tannersteele,0,44,44
45,FantinBibas,0,45,45
46,ngothanhtai,0,46,46
47,diluga,0,47,47
48,ForrestPi,0,48,48
49,sorenbouma,1,49,49
50,th3brink,0,50,50
51,damianlajara,0,51,51
52,DQNEO,0,52,52
53,carloseberhardt,0,53,53
54,moraispgsi,0,54,54
55,crispe1586,0,55,55
56,TarrySingh,1,56,56
57,gideonheilbron,0,57,57
58,roalcantara,0,58,58
59,novinsh,1,59,59
60,XiaocongDong,0,60,60
61,muhammadfaizan,0,61,61
62,bigzhao,1,62,62
63,guillecro,0,63,63
64,7772,0,64,64
65,paranoiasystem,0,65,65
66,Endika,0,66,66
67,jasperblues,0,67,67
68,ogirginc,0,68,68
69,shogochiai,0,69,69
70,TinaBryan,0,70,70
71,iksnae,0,71,71
72,mafellows,1,72,72
